comuna;sector;area;perimetro;nombre;poblacion
50;7;57783790.89;40997.34846;PALMITAS;7061
90;9;74675217.49;71755.20612;SANTA ELENA;19559
70;8;28622009.78;37766.63026;ALTAVISTA;38574
10;3;7359454.486;13769.39692;LA CANDELARIA;85658
60;7;54674805.69;52413.97892;SAN CRISTOBAL;93072
15;6;7336242.862;12944.72851;GUAYABAL;95397
12;4;4143412.35;14440.37148;LA AMERICA;96918
2;1;2213970.465;8697.168399;SANTA CRUZ;112514
80;8;60747252.51;42950.66641;SAN ANTONIO DE PRADO;117594
11;4;7292225.463;15913.98327;LAURELES;122744
1;1;3124715.195;10874.43846;POPULAR;131445
14;5;14495859.35;22135.038;EL POBLADO;131486
9;3;5977783.241;18775.05011;BUENOS AIRES;137255
8;3;5573157.566;16889.59096;VILLA HERMOSA;138542
13;4;5096189.571;26223.66674;SAN JAVIER;139175
5;2;6052149.669;16182.49566;CASTILLA;150881
3;1;4880647.717;13441.1933;MANRIQUE;161070
4;1;4889280.39;9972.017857;ARANJUEZ;162915
7;2;9280785.76;22891.68577;ROBLEDO;174406
6;2;3915399.207;10888.39753;DOCE DE OCTUBRE;194787
16;6;8656944.297;25228.99499;BELEN;197399
